Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
Advisors,20180416,06,26,Anonymous-User,2,0,244.50
fiduciary asset sizing,20180601,16,37,c5efcf93-2c56-e711-8107-5065f38afab1,2,0,360.50
intermediary distribution,20180405,13,12,U001BHX,2,0,119.50
investor segmentation,20180611,04,32,U001COK,2,3,140.00
- The Next Generation of Planning,20180530,11,01,Anonymous-User,1,1,33.00
"""client education""",20180619,12,02,Anonymous-User,1,0,0.00
"""Cross Border""",20180624,21,56,U000XP3,1,0,0.00
"""direct channel""",20180621,15,47,U0019PJ,1,0,87.00
"""direct provider projected assets""",20180507,11,32,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,0.00
"""direct provider projected""",20180507,11,31,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,62.00
"""end clients""",20180605,20,28,Anonymous-User,1,0,0.00
"""financial advisors""",20180611,19,18,Anonymous-User,1,0,0.00
"""global markets""",20180419,07,04,Anonymous-User,1,4,422.00
"""headcount projectd change over the next year""",20180507,12,16,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,148.00
"""Institutional Sales""",20180502,15,49,Anonymous-User,1,1,868.00
"""liquid alternatives""",20180424,12,32,U0018O2,1,1,27.00
"""Retirement Income Products and Strategies""",20180420,09,51,30dbd37d-8ff5-e711-90cd-00155d9b643b,1,1,197.00
"""retirement markets""",20180530,22,47,U0015WX,1,0,1083.00
"""return on assets""",20180416,10,15,1f8dddbc-8237-e811-8110-c4346bdcf291,1,1,810.00
"""sales assistant""",20180622,10,43,U0019PK,1,0,46.00
"""smart beta""",20180516,13,49,Anonymous-User,1,0,483.00
"""state street""",20180619,16,09,Anonymous-User,1,0,0.00
"""TAMP""",20180406,12,38,Anonymous-User,1,0,79.00
"""turnkey asset management""",20180612,14,36,Anonymous-User,1,0,279.00
"""turnkey asset management"" AND aum",20180612,14,41,Anonymous-User,1,0,82.00
"""wealth management""",20180614,13,49,Anonymous-User,1,1,63.00
"""wealth structuring""",20180412,13,26,U000Z43,1,1,160.00
"""wealth transfer""",20180604,13,22,7ce2d8c0-2751-e711-8107-5065f38afab1,1,0,0.00
"""wealth transfer""",20180606,18,24,7ce2d8c0-2751-e711-8107-5065f38afab1,1,0,432.00
"""with wholesalers""",20180426,12,10,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,32.00
